,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
0,1,4,3,0.24028268551236756,11.175754549129524,0,1,0.520844256257895,2,0,5,1,0
1,1,4,3,0.22968197879858662,10.77677731765335,0,0,0.14164614009038679,2,0,0,1,0
2,7,3,3,0.4134275618374559,10.329931067029484,0,0,0.19332617576391958,2,0,8,1,1
3,1,4,5,0.402826855123675,11.814475944954545,0,1,0.49622100196130353,3,0,9,0,0
4,1,4,3,0.24028268551236756,11.473100972779063,0,1,0.520844256257895,2,0,8,1,0
5,0,3,1,0.4982332155477033,9.967025573340116,0,0,0.037693609068564726,0,3,0,0,2
6,1,4,5,0.4770318021201414,11.64410811545818,0,1,0.49622100196130353,3,0,0,1,0
7,1,4,3,0.22968197879858662,11.03061499223515,0,0,0.14164614009038679,2,0,0,1,0
8,2,4,5,0.21554770318021207,11.28544251205692,0,0,0.2549513724206101,3,0,9,2,2
9,0,4,3,0.32155477031802127,10.621951541079865,0,1,0.2549513724206101,2,0,8,1,2
10,7,3,1,0.4134275618374559,9.951658096208996,0,0,0.037693609068564726,2,3,0,1,1
11,7,3,1,0.4134275618374559,9.81907645733616,0,0,0.19332617576391958,1,3,0,1,1
12,1,4,5,0.402826855123675,11.775302049361828,0,1,0.49622100196130353,3,0,8,0,0
13,4,3,1,0.5335689045936397,10.187966701099125,0,0,0.19332617576391958,1,0,8,0,2
14,1,4,3,0.08127208480565376,11.116330976323743,0,1,0.5186774098797948,4,0,8,1,0
15,1,4,3,0.24028268551236756,11.301072237406668,0,1,0.520844256257895,2,0,8,1,0
16,4,3,3,0.5335689045936397,10.588945244611692,0,0,0.19332617576391958,3,0,8,0,2
17,1,4,5,0.402826855123675,11.933438384721946,0,1,0.49622100196130353,3,0,9,0,0
18,10,3,3,0.5335689045936397,10.188167121983652,0,0,0.19332617576391958,1,4,0,2,1
19,4,4,3,0.18727915194346292,10.862092668762644,1,1,0.28657482859970135,2,0,5,1,2
20,2,2,0,0.10247349823321558,9.232535429245788,0,0,0.1699653001205263,4,0,0,1,2
21,10,1,3,0.6395759717314489,10.882315804880689,0,1,0.19332617576391958,2,4,5,2,2
22,7,3,1,0.4134275618374559,9.528520611153752,0,0,0.037693609068564726,0,3,0,0,1
23,4,0,3,0.3286219081272086,10.683645110085203,1,0,0.28657482859970135,2,0,8,1,2
24,7,4,3,0.4310954063604241,10.46628456073464,0,0,0.19332617576391958,3,0,8,1,2
25,4,3,1,0.568904593639576,10.012572388296086,0,0,0.037693609068564726,1,4,0,1,2
26,1,4,3,0.2332155477031803,10.977716980635757,0,0,0.14164614009038679,2,0,0,1,0
27,4,3,3,0.5335689045936397,10.660172753900062,0,0,0.19332617576391958,2,0,8,0,2
28,4,4,3,0.4204946996466431,11.144140923496169,0,0,0.19332617576391958,3,0,9,1,2
29,7,3,3,0.6395759717314489,10.773501439207063,0,0,0.14033919308945292,2,4,0,2,2
30,3,3,1,0.42402826855123676,9.476778419617322,0,0,0.19332617576391958,4,0,0,1,2
31,2,3,0,0.3392226148409895,9.268865850956626,0,0,0.08153222667435767,0,0,0,0,2
32,7,3,1,0.7137809187279153,10.060060439307303,0,0,0.14033919308945292,0,3,0,0,2
33,4,4,5,0.18021201413427565,11.508719833687696,1,0,0.7082209109875846,3,0,9,1,2
34,1,4,3,0.2332155477031803,10.881314302543595,0,0,0.14164614009038679,2,0,0,1,0
35,10,3,1,0.26501766784452296,9.49301392269684,0,0,0.08153222667435767,4,0,0,1,2
36,0,3,1,0.4982332155477033,9.880922874286703,0,0,0.037693609068564726,1,4,0,1,1
37,4,3,3,0.7455830388692579,10.862092668762644,0,1,0.14033919308945292,2,4,5,0,2
38,7,3,1,0.4134275618374559,10.167289367847482,0,0,0.037693609068564726,2,4,0,1,2
39,7,3,3,0.4982332155477033,10.754345923917311,0,0,0.19332617576391958,2,0,8,2,2
40,2,3,1,0.46289752650176685,9.93914036985058,0,0,0.19332617576391958,1,4,0,1,1
41,4,1,5,0.6925795053003534,11.288114524334732,0,1,0.19332617576391958,3,4,8,2,2
42,2,3,3,0.568904593639576,10.235123369655367,0,0,0.037693609068564726,2,4,0,2,1
43,0,3,1,0.5335689045936397,10.500590684075595,0,1,0.19332617576391958,2,0,8,1,2
44,4,0,4,0.7349823321554771,10.882315804880689,1,0,0.14033919308945292,2,4,0,2,2
45,1,4,3,0.24028268551236756,11.233268703392175,0,1,0.520844256257895,2,0,8,1,0
46,10,3,1,0.5335689045936397,9.88635767027266,0,0,0.037693609068564726,1,0,5,1,1
47,2,1,3,0.8869257950530036,11.144911042902732,0,0,0.14033919308945292,0,4,8,0,2
48,4,3,1,0.568904593639576,10.435465480609668,0,0,0.19332617576391958,2,0,8,0,2
49,2,3,1,0.7455830388692579,10.11974666035778,0,0,0.0,4,4,0,2,2
50,10,0,1,0.0,9.74075212901698,1,1,0.5101172939900731,4,0,0,1,1
51,0,3,3,0.5335689045936397,10.71015268620508,0,1,0.19332617576391958,3,0,8,2,2
52,7,3,1,0.4134275618374559,9.963243430044656,0,0,0.19332617576391958,0,0,8,0,2
53,7,3,3,0.2826855123674912,10.981350045485636,0,0,0.28657482859970135,3,0,9,1,2
